Stem,Word_anew,Word_mrc,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,D.Mean.Sum,D.SD.Sum,D.Rat.Sum,Conc,Imag
adventur,adventurer,adventurer,7.0,1.76,21,5.27,2.9,22,5.83,2.62,18,462,497
adventur,adventurous,adventurer,7.37,1.01,19,6.67,2.06,18,5.71,2.76,17,462,497
advers,adverse,adversity,3.68,1.0,19,3.89,2.22,18,3.35,1.87,17,314,326
advers,adversity,adversity,4.26,2.47,19,3.82,2.61,22,4.63,1.95,19,314,326
advic,advice,advice,5.78,1.99,18,3.05,2.38,21,5.83,1.38,18,291,352
aerial,aerial,aerial,6.04,1.4,23,3.67,2.2,21,5.17,2.28,24,517,567
affect,affect,affection,5.65,1.23,20,3.61,2.23,23,6.39,1.5,28,280,484
affect,affection,affection,7.89,1.05,19,5.64,2.63,22,6.6,1.83,25,280,484
affirm,affirmation,affirmation,5.95,2.37,20,3.95,1.67,20,6.53,2.26,34,242,313
affirm,affirmative,affirmation,5.94,2.04,18,3.64,2.13,22,6.78,1.88,23,242,313
afraid,afraid,afraid,2.25,1.16,20,5.12,2.57,42,2.71,1.9,24,336,451
afternoon,afternoon,afternoon,6.68,1.43,22,3.48,2.09,21,5.71,1.53,17,406,513
age,age,age,5.78,1.93,18,3.71,2.59,21,4.67,2.4,18,390,468
age,aging,age,3.0,1.41,18,3.8,2.88,20,3.06,2.54,16,390,468
agenc,agency,agency,5.14,1.46,21,3.17,1.97,23,4.89,2.37,18,426,366
aggress,aggression,aggress,3.18,2.02,22,5.69,2.49,26,4.65,2.31,23,271,270
aggress,aggressive,aggress,3.08,1.5,37,5.87,2.53,23,5.49,2.59,35,271,270
aggress,aggressiveness,aggress,3.58,2.12,19,6.43,2.11,23,5.21,2.3,19,271,270
aggressor,aggressor,aggressor,2.8,1.01,20,6.55,1.57,20,4.57,2.73,21,439,383
agil,agile,agile,5.95,2.2,19,4.95,2.01,22,6.09,2.11,22,356,454
agil,agile,agility,5.95,2.2,19,4.95,2.01,22,6.09,2.11,22,327,464
agil,agility,agile,6.55,1.19,20,4.21,2.29,42,6.41,2.02,44,356,454
agil,agility,agility,6.55,1.19,20,4.21,2.29,42,6.41,2.02,44,327,464
agoni,agony,agony,2.46,1.64,41,5.78,2.78,18,4.0,2.81,18,348,491
agreement,agreement,agreement,6.75,2.51,20,4.05,2.22,19,6.48,1.81,44,327,367
aid,aid,aid,6.29,2.05,21,4.55,2.35,20,5.95,2.27,21,372,413
aid,aide,aid,5.6,1.19,20,4.0,1.66,22,7.05,1.47,19,372,413
aid,aids,aid,3.52,2.2,21,3.75,2.74,24,4.88,2.71,17,372,413
aid,aids,aid,1.33,0.8,21,5.0,2.6,20,3.55,2.77,22,372,413
ail,ailing,ail,2.95,1.43,22,4.52,2.48,21,4.15,1.42,20,385,391
aim,aim,aim,5.95,1.76,22,4.0,2.37,21,6.5,2.35,22,324,383
air,air,air,6.71,1.85,21,3.25,2.55,20,5.72,2.8,47,518,450
airship,airship,airship,5.63,1.34,19,4.88,2.47,24,4.43,2.15,28,585,545
aisl,aisle,aisle,5.17,1.65,18,2.5,1.44,22,4.87,2.12,23,509,528
albatross,albatross,albatross,5.68,2.31,19,3.09,1.6,22,4.91,1.95,23,621,583
alcohol,alcohol,alcohol,4.11,2.08,19,5.17,1.86,18,4.0,2.5,17,618,598
alcohol,alcoholic,alcohol,2.49,1.54,39,5.48,2.69,23,3.27,2.45,22,618,598
alcohol,alcoholism,alcohol,2.0,1.61,21,5.0,2.45,24,3.0,2.53,22,618,598
ale,ale,ale,5.95,1.31,19,4.1,2.1,21,5.17,2.08,23,578,526
alert,alert,alert,5.38,1.72,40,5.14,2.41,43,6.58,2.07,40,400,428
algebra,algebra,algebra,5.4,2.28,20,4.6,2.66,20,4.54,2.44,35,453,510
alia,alias,alias,5.0,1.03,20,4.71,2.05,21,5.94,2.37,33,232,294
alien,alien,alien,4.45,1.82,20,4.86,2.21,22,3.56,2.66,18,399,470
alien,alienate,alien,2.79,1.62,19,4.27,1.88,22,3.71,1.68,24,399,470
alien,alienation,alien,2.53,1.17,19,5.14,1.88,22,3.33,1.69,24,399,470
alimoni,alimony,alimony,3.86,1.74,21,3.09,2.45,23,4.32,2.48,38,454,456
alleg,allegation,allegation,3.26,1.24,19,5.9,1.3,21,3.96,2.5,23,272,291
alleg,alleged,allegation,3.62,1.86,21,5.09,2.11,23,4.27,1.64,26,272,291
alley,alley,alley,4.17,1.63,41,4.08,2.28,38,4.63,1.83,19,557,572
alli,allied,ally,5.95,1.36,20,3.38,1.94,21,5.4,2.52,25,485,453
alli,ally,ally,6.05,2.4,22,4.8,2.44,20,6.84,2.12,19,485,453
allig,alligator,alligator,4.23,1.88,22,5.36,2.3,22,4.1,2.49,20,624,627
allow,allow,allow,6.39,1.75,18,2.95,1.75,21,6.11,2.54,18,268,373
allow,allowance,allow,6.74,1.37,19,4.05,2.11,21,5.7,2.2,23,268,373
alon,alone,alone,3.85,2.23,20,4.0,2.72,41,4.5,2.59,20,390,480
alphabet,alphabet,alphabet,5.95,1.94,21,3.15,2.25,20,5.79,2.62,19,449,499
alphabet,alphabetical,alphabet,6.32,1.42,19,3.0,1.7,21,6.14,2.21,22,449,499
alter,alter,alter,4.57,1.29,21,4.17,2.19,23,5.57,2.38,21,430,413
alter,alteration,alter,5.05,1.84,19,4.05,2.35,20,6.15,2.01,20,430,413
altitud,altitude,altitude,5.27,1.72,22,4.15,2.52,26,5.46,2.28,24,373,472
aluminum,aluminum,aluminum,5.1,1.68,20,4.05,2.24,20,6.0,1.67,21,523,501
amateur,amateur,amateur,4.58,1.17,19,3.55,2.09,20,5.25,2.34,20,388,397
amaz,amaze,amazement,7.24,2.0,21,5.0,2.25,20,5.83,2.37,23,277,456
amaz,amazed,amazement,7.55,0.89,20,5.95,2.68,22,6.11,2.26,27,277,456
amaz,amazement,amazement,7.29,1.9,24,6.3,2.51,23,6.43,1.99,21,277,456
amaz,amazing,amazement,7.72,1.32,18,6.05,2.52,21,6.83,2.09,18,277,456
ambassador,ambassador,ambassador,5.5,1.54,22,3.91,2.16,22,6.2,2.19,20,546,545
ambit,ambition,ambition,7.28,1.62,40,4.86,2.38,44,6.36,2.04,25,281,346
ambul,ambulance,ambulance,3.71,2.11,41,5.33,2.94,21,3.29,2.14,42,595,627
amend,amend,amendment,5.85,1.87,20,3.06,2.1,18,4.96,2.42,24,326,305
amend,amendment,amendment,5.6,1.19,20,3.5,1.92,18,4.77,1.54,22,326,305
amend,amends,amendment,6.68,1.8,19,3.95,2.21,20,5.96,2.18,23,326,305
ammonia,ammonia,ammonia,3.74,1.69,19,3.0,2.02,22,3.83,2.19,23,563,536
amount,amount,amount,5.42,0.61,19,3.53,1.98,19,5.39,2.13,23,335,316
amour,amour,amour,6.43,1.89,21,5.43,2.57,23,5.91,2.35,22,308,536
amus,amuse,amuse,7.1,1.37,20,5.17,1.99,23,6.8,1.64,20,321,455
amus,amused,amuse,7.05,1.28,21,4.27,2.76,22,5.93,2.06,27,321,455
amus,amusement,amuse,7.0,1.56,19,4.82,2.7,22,6.59,2.17,27,321,455
amus,amusing,amuse,7.6,1.31,20,5.18,2.11,22,6.79,1.58,19,321,455
analog,analogy,analogy,5.24,2.07,21,3.95,2.27,19,5.33,2.12,36,247,267
anchor,anchor,anchor,5.16,2.17,19,3.32,2.08,22,5.29,1.81,24,595,561
anecdot,anecdote,anecdote,5.62,1.36,21,4.65,2.55,23,6.0,1.41,19,398,357
angel,angel,angel,7.71,1.85,41,4.24,2.85,42,5.9,2.13,20,399,554
angel,angelic,angel,6.68,2.52,19,4.27,2.45,22,6.32,1.45,19,399,554
anger,anger,anger,2.5,1.36,20,5.93,2.77,43,5.14,2.8,42,315,488
angl,angle,angle,4.55,1.28,20,3.22,2.24,18,5.27,1.83,22,467,503
anim,animal,animal,7.06,1.95,18,4.3,2.7,20,5.72,2.32,18,587,575
anim,animated,animal,6.65,1.79,20,5.77,2.29,22,6.71,1.82,21,587,575
anim,animation,animal,6.42,1.12,19,5.52,2.84,21,5.16,1.98,19,587,575
animos,animosity,animosity,3.4,1.88,20,5.83,2.28,18,5.04,2.44,24,253,388
ankl,ankle,ankle,5.4,1.9,20,3.11,1.94,18,5.58,2.36,57,608,613
annex,annex,annex,4.41,1.05,22,4.0,2.49,23,5.26,1.63,19,464,435
announc,announce,announcement,5.52,1.33,21,3.65,2.66,20,5.48,2.5,21,368,381
announc,announcement,announcement,5.81,1.4,21,4.3,2.81,20,5.05,2.72,22,368,381
announc,announcer,announcement,5.84,1.5,19,4.5,2.7,22,4.07,1.71,27,368,381
answer,answer,answer,6.1,1.41,39,4.0,2.89,43,5.95,2.04,19,397,368
ant,ant,ant,3.9,1.14,21,3.27,2.39,22,5.3,2.37,27,604,613
antagon,antagonize,antagonism,3.15,1.35,20,4.95,2.11,20,4.0,2.65,22,288,378
anticip,anticipate,anticipation,6.0,1.26,20,5.7,2.0,20,5.36,1.81,22,288,435
anticip,anticipation,anticipation,5.26,1.66,19,5.39,2.55,18,5.53,2.24,17,288,435
antiqu,antiquated,antique,5.0,1.61,21,4.95,2.74,20,4.69,2.11,36,492,549
antiqu,antique,antique,6.5,1.93,20,4.0,2.35,25,5.79,2.44,19,492,549
antiqu,antiques,antique,6.63,2.29,19,3.68,2.71,22,5.17,1.72,18,492,549
anxieti,anxiety,anxiety,2.38,1.66,21,4.78,2.89,23,3.39,1.94,18,241,422
apart,apartment,apart,5.72,2.35,18,3.8,2.76,20,5.33,2.28,18,304,364
apart,apartment,apartment,5.72,2.35,18,3.8,2.76,20,5.33,2.28,18,575,556
apart,apartments,apart,5.0,1.73,19,3.28,1.99,18,5.18,1.98,17,304,364
apart,apartments,apartment,5.0,1.73,19,3.28,1.99,18,5.18,1.98,17,575,556
apathi,apathy,apathy,3.68,1.7,19,3.8,2.21,20,5.15,2.48,20,364,376
ape,ape,ape,5.21,1.72,19,4.25,2.73,20,5.38,2.28,24,654,616
apex,apex,apex,5.52,1.59,23,3.48,2.29,21,5.17,2.01,24,408,375
apolog,apologize,apology,4.94,2.13,18,3.52,2.23,21,4.22,1.96,18,311,400
apolog,apology,apology,6.24,1.87,21,4.0,2.14,22,5.1,1.95,21,311,400
appeal,appeal,appeal,6.3,2.15,20,3.57,2.13,21,5.36,2.56,25,333,402
appear,appear,appear,5.25,0.64,20,3.24,2.21,21,5.36,2.41,25,271,341
appear,appear,appearance,5.25,0.64,20,3.24,2.21,21,5.36,2.41,25,358,425
appear,appearance,appear,6.14,1.9,21,4.57,2.45,23,5.9,2.59,21,271,341
appear,appearance,appearance,6.14,1.9,21,4.57,2.45,23,5.9,2.59,21,358,425
appl,apple,apple,6.62,1.72,21,3.52,2.06,21,6.44,2.1,25,620,637
applianc,appliance,appliance,5.15,1.29,40,2.84,1.88,45,5.0,2.3,44,558,554
appoint,appoint,appointment,5.95,1.61,19,4.25,2.07,20,5.65,2.1,23,341,386
appoint,appointment,appointment,4.43,1.69,21,4.8,2.5,20,6.68,2.26,19,341,386
apprais,appraisal,appraise,5.09,2.0,23,4.09,2.09,22,5.65,2.11,20,279,306
approach,approach,approach,5.45,1.15,20,4.48,1.91,21,6.03,2.08,34,323,329
approv,approval,approval,6.75,1.68,20,3.52,2.77,21,6.63,2.19,27,267,375
approv,approve,approval,7.0,1.92,20,4.09,2.29,22,7.26,1.41,19,267,375
apricot,apricot,apricot,5.95,2.19,20,4.29,2.12,21,5.94,2.54,32,638,591
apt,apt,apt,5.64,1.53,22,4.05,2.32,19,5.95,2.11,21,183,295
aptitud,aptitude,aptitude,5.95,1.54,19,4.55,2.42,20,5.45,2.19,20,241,310
arch,arch,arch,5.8,1.77,20,3.15,1.93,20,5.45,1.97,22,512,557
archeri,archery,archery,5.25,2.05,20,4.39,2.57,18,5.73,1.88,22,470,550
area,area,area,5.56,1.29,18,2.19,1.6,21,5.06,1.76,18,384,394
aristocraci,aristocracy,aristocracy,5.21,2.07,19,4.15,2.39,20,5.08,2.47,24,371,470
ark,ark,ark,6.15,1.31,20,3.52,2.18,21,5.88,2.44,24,561,517
arm,arm,arm,5.44,1.7,41,3.44,2.05,45,6.02,1.98,44,592,593
arm,armed,arm,4.11,1.97,19,6.3,1.92,23,5.68,2.71,19,592,593
armor,armor,armor,6.1,1.51,21,3.29,2.44,24,6.3,2.03,20,544,503
armor,armored,armor,5.67,1.59,21,3.52,2.14,21,5.7,2.3,27,544,503
armi,army,army,4.65,2.03,20,4.49,2.63,43,4.65,2.67,37,543,578
arrang,arrange,arrangement,5.15,0.93,20,3.57,2.11,21,6.71,1.83,34,308,316
arrang,arrangement,arrangement,5.71,1.45,21,3.0,1.89,20,5.5,2.67,22,308,316
array,array,array,5.9,1.48,21,3.71,2.0,21,5.62,1.43,21,371,365
arriv,arrival,arrival,6.67,1.28,21,3.6,2.42,25,6.53,1.87,19,328,419
arriv,arrive,arrival,6.41,1.84,22,5.0,2.75,20,6.84,1.95,19,328,419
arrow,arrow,arrow,5.24,1.81,21,3.91,2.59,23,5.53,2.21,17,595,619
art,art,art,6.85,1.89,39,4.48,2.48,23,6.02,2.14,55,440,493
articl,article,article,5.68,1.42,19,3.5,1.71,22,5.68,1.63,19,479,421
artifici,artificial,artificial,3.86,1.68,21,4.17,1.71,24,4.55,2.28,22,350,386
artist,artist,artist,6.76,2.47,21,4.1,2.65,20,6.95,2.17,19,554,600
artist,artiste,artist,6.33,1.85,21,3.0,2.23,24,5.35,2.03,20,554,600
artist,artistic,artist,7.0,1.17,20,5.0,2.74,18,6.86,2.15,21,554,600
asbesto,asbestos,asbestos,2.24,1.34,21,4.38,2.53,24,3.05,2.3,22,578,513
asham,ashamed,ashamed,2.52,2.23,21,5.65,2.39,20,4.63,2.69,19,325,397
asparagus,asparagus,asparagus,5.43,2.27,21,2.73,1.98,22,5.67,1.78,27,608,590
aspect,aspect,aspect,4.89,1.15,19,3.39,2.06,18,4.76,2.46,17,217,233
asphalt,asphalt,asphalt,4.46,1.67,24,3.2,1.88,20,4.62,2.33,21,583,569
aspirin,aspirin,aspirin,5.3,1.34,20,3.35,2.13,20,5.12,2.4,25,574,542
assault,assault,assault,2.05,1.45,39,6.8,2.11,916,3.49,2.71,43,410,481
assembl,assemble,assemble,5.14,1.82,21,3.52,2.39,23,6.28,2.32,18,394,413
assembl,assembly,assemble,5.47,1.43,19,3.95,2.72,22,4.82,1.79,28,394,413
assist,assist,assist,5.95,1.53,22,3.76,2.26,21,6.41,2.17,22,342,368
assist,assist,assistance,5.95,1.53,22,3.76,2.26,21,6.41,2.17,22,288,348
assist,assistance,assist,5.82,1.79,22,3.82,2.22,22,6.45,2.42,20,342,368
assist,assistance,assistance,5.82,1.79,22,3.82,2.22,22,6.45,2.42,20,288,348
assist,assistant,assist,5.91,1.44,22,4.8,2.67,20,6.37,2.06,19,342,368
assist,assistant,assistance,5.91,1.44,22,4.8,2.67,20,6.37,2.06,19,288,348
assort,assorted,assortment,5.82,1.14,22,3.52,2.16,21,5.41,2.13,22,355,367
assort,assortment,assortment,5.64,1.14,22,3.88,2.2,26,5.79,2.34,24,355,367
astronomi,astronomy,astronomy,6.0,1.81,20,4.33,2.82,21,5.21,2.41,24,419,483
astut,astute,astute,6.22,1.35,18,3.16,2.24,19,6.0,1.94,25,241,261
athlet,athlete,athlete,6.21,2.04,19,4.75,2.75,20,5.96,1.63,24,545,591
athlet,athlete,athletics,6.21,2.04,19,4.75,2.75,20,5.96,1.63,24,437,551
athlet,athletic,athlete,6.76,1.73,21,5.0,2.45,22,6.11,2.14,18,545,591
athlet,athletic,athletics,6.76,1.73,21,5.0,2.45,22,6.11,2.14,18,437,551
athlet,athletics,athlete,6.14,2.03,21,4.93,2.76,44,6.15,2.2,48,545,591
athlet,athletics,athletics,6.14,2.03,21,4.93,2.76,44,6.15,2.2,48,437,551
atmospher,atmosphere,atmosphere,6.05,1.5,22,4.0,2.28,21,4.86,2.47,22,385,444
atmospher,atmospheric,atmosphere,5.72,1.36,18,4.09,2.21,23,5.11,2.31,28,385,444
atom,atom,atom,5.74,1.1,19,4.29,2.37,21,5.39,2.46,23,481,499
atom,atomic,atom,4.26,2.13,19,5.85,2.54,20,3.96,2.46,24,481,499
atroc,atrocity,atrocity,2.95,1.86,21,5.0,2.65,23,2.96,1.99,26,296,404
attack,attack,attack,2.0,0.97,18,7.05,2.11,21,3.39,2.57,18,411,501
attack,attacker,attack,2.23,1.57,22,7.27,1.93,22,4.26,2.98,19,411,501
attempt,attempt,attempt,6.0,1.55,21,4.94,2.29,18,5.67,2.01,36,313,302
attempt,attempted,attempt,5.35,1.5,23,3.64,2.32,22,6.52,2.15,27,313,302
attend,attend,attend,5.4,1.19,20,3.5,2.3,22,6.7,1.79,27,324,386
attend,attend,attendant,5.4,1.19,20,3.5,2.3,22,6.7,1.79,27,533,499
attend,attendance,attend,5.95,1.43,19,4.24,2.07,21,5.59,2.13,22,324,386
attend,attendance,attendant,5.95,1.43,19,4.24,2.07,21,5.59,2.13,22,533,499
attend,attendant,attend,5.63,0.96,19,3.14,1.56,21,5.09,2.5,23,324,386
attend,attendant,attendant,5.63,0.96,19,3.14,1.56,21,5.09,2.5,23,533,499
attitud,attitude,attitude,4.72,2.08,18,4.76,2.05,21,5.88,2.21,24,265,321
attribut,attribute,attribute,5.67,1.62,21,4.12,2.28,25,6.0,2.26,19,266,295
audienc,audience,audience,5.89,2.03,18,4.91,2.45,22,5.14,2.49,22,515,555
audit,audit,audit,2.82,1.3,22,5.78,2.61,23,3.68,2.24,19,371,253
audit,audit,audition,2.82,1.3,22,5.78,2.61,23,3.68,2.24,19,370,395
audit,audition,audit,5.2,1.4,20,4.24,2.45,21,6.0,2.35,25,371,253
audit,audition,audition,5.2,1.4,20,4.24,2.45,21,6.0,2.35,25,370,395
auditorium,auditorium,auditorium,6.05,1.54,19,4.45,2.02,22,5.05,1.58,19,552,573
aunt,aunt,aunt,6.56,2.09,18,2.71,2.41,21,4.28,2.19,18,564,567
authent,authentic,authentic,6.91,1.63,22,4.55,2.5,22,6.58,2.09,19,276,428
authent,authenticate,authentic,5.1,1.81,21,4.36,2.38,22,5.78,1.99,18,276,428
authent,authenticity,authentic,6.81,1.63,21,4.42,2.36,24,6.23,2.58,22,276,428
author,author,author,6.33,1.39,21,2.73,1.91,22,6.38,1.88,26,502,460
author,authority,author,4.76,1.87,21,5.35,2.33,23,5.19,2.47,26,502,460
author,authorization,author,5.86,1.74,21,4.32,2.36,25,4.77,2.91,22,502,460
author,authorize,author,5.37,1.01,19,4.67,2.44,24,6.54,1.88,28,502,460
automobil,automobile,automobile,5.45,1.47,20,3.91,1.82,22,6.0,2.6,19,607,628
autumn,autumn,autumn,7.12,1.98,42,3.21,2.34,43,5.17,2.53,23,421,622
avalanch,avalanche,avalanche,4.0,2.73,19,6.55,2.46,20,3.24,2.3,46,554,596
avenu,avenue,avenue,5.74,1.53,42,3.3,2.24,43,5.18,1.68,22,539,564
aviat,aviation,aviator,5.9,1.67,21,4.05,2.59,22,5.62,1.68,26,492,445
aviat,aviator,aviator,6.39,1.5,18,4.67,2.46,21,6.13,1.66,23,492,445
avid,avid,avid,5.74,2.31,19,4.32,2.01,22,5.71,1.92,24,275,325
awkward,awkward,awkward,2.95,1.22,19,4.55,2.35,20,4.25,2.22,20,329,419
awkward,awkwardness,awkward,3.86,1.88,22,4.65,2.61,26,4.13,2.2,23,329,419
axe,axe,axe,3.48,1.5,23,5.64,2.61,22,5.55,2.09,20,623,597
axl,axle,axle,4.67,1.11,21,2.45,2.2,22,5.3,1.89,20,555,560
babe,babe,babe,6.86,1.93,21,4.25,3.08,20,6.79,2.64,19,562,562
babi,baby,baby,6.67,2.36,43,4.97,2.65,38,4.94,2.87,49,589,608
back,back,back,4.76,1.76,21,2.59,1.79,22,5.22,2.32,18,540,483
background,background,background,5.05,0.78,19,3.67,1.77,21,5.57,2.0,23,383,427
bacteria,bacteria,bacteria,3.3,1.56,20,4.24,2.53,21,3.44,2.48,25,560,505
bad,bad,bad,3.24,1.92,21,4.86,2.69,21,3.56,2.18,18,308,388
bad,badness,bad,3.55,2.01,20,4.38,2.94,21,4.08,2.48,25,308,388
badg,badge,badge,5.24,2.05,21,4.4,2.41,20,5.75,2.53,36,561,519
bag,bag,bag,5.05,1.29,22,3.43,2.2,21,5.62,1.78,16,603,570
bail,bail,bail,3.79,2.02,19,3.91,2.27,22,4.0,2.04,23,441,480
balanc,balance,balance,6.84,1.57,19,4.13,2.03,23,5.47,2.06,19,366,429
